1,Velez,24,18,5,1,51,14,59
2,Belgrano,24,15,3,6,33,18,48
3,Racing,24,14,4,6,30,23,46
4,River Plate,24,14,2,8,39,29,44
5,Argentinos Juniors,24,12,5,7,38,21,41
6,Talleres,24,12,4,8,37,34,40
7,Rosario Central,24,11,6,7,43,33,39
8,San Lorenzo,24,11,6,7,26,23,39
9,Lanus,24,12,2,10,31,28,38
10,Estudiantes,24,11,4,9,32,21,37
11,Independiente,24,10,7,7,36,26,37
12,Tigre,24,11,4,9,32,24,37
13,Newells,24,9,7,8,26,17,34
14,Boca Juniors,24,8,10,6,21,18,34
15,Huracan,24,8,8,8,30,29,32
16,Defensa y Justicia,24,9,4,11,37,37,31
17,Banfield,24,8,7,9,27,36,31
18,Colon,24,9,4,11,21,30,31
19,Instituto,24,8,4,12,25,31,28
20,Central Cordoba,24,8,4,12,31,46,28
21,Arsenal,24,7,5,12,25,28,26
22,Union,24,6,7,11,30,40,25
23,Gimnasia,24,7,4,13,20,32,25
24,Atletico Tucuman,24,6,6,12,26,41,24
25,Sarmiento,24,5,8,11,21,29,23
26,Platense,24,5,8,11,21,38,23
27,Barracas,24,4,8,12,21,35,20
28,Godoy Cruz,24,3,4,17,18,47,13